location,area_sqft,bedrooms,bathrooms,balconies,age_years,distance_to_it_hub_km,nearest_metro_km,parking_spaces,amenity_score,price_lakh
JP Nagar,1126,2,3,1,21,9.72,0.84,2,52.3,102.11
Koramangala,1379,3,2,3,22,9.15,5.9,3,86.5,195.31
Hebbal,1718,4,3,3,9,11.43,4.98,1,64.4,218.02
Yelahanka,642,1,2,1,6,2.96,,0,57.5,104.08
Koramangala,2338,5,5,3,12,9.99,5.6,1,92.7,313.64
Whitefield,3116,5,5,0,29,0.67,8.88,4,91.7,319.51
Whitefield,2278,3,2,0,27,12.83,8.1,1,91.9,228.62
Yelahanka,605,1,2,2,6,21.27,5.26,0,91.6,55.81
Jayanagar,406,1,2,1,14,14.03,0.65,0,73.3,58.67
Yelahanka,1772,4,4,0,16,15.39,4.26,0,77.0,158.86
HSR Layout,790,1,1,0,22,1.25,4.03,2,96.9,100.19
Yelahanka,1405,2,2,0,26,21.56,1.25,0,47.8,40.64
Sarjapur Road,2792,6,7,2,2,9.93,,0,88.4,250.84
Koramangala,836,1,1,3,4,24.38,,1,71.6,117.07
Bellandur,975,2,3,2,9,3.45,9.89,1,98.7,184.69
Indiranagar,1397,2,3,2,4,23.64,9.66,1,78.4,192.26
Jayanagar,588,1,2,2,23,16.04,10.15,1,49.8,78.65
Yelahanka,791,2,1,2,6,1.78,10.41,1,88.9,68.44
Marathahalli,1217,2,2,1,6,24.31,4.04,1,80.4,126.66
Whitefield,1017,2,2,1,21,0.84,4.0,1,48.9,113.03
Sarjapur Road,1677,3,4,0,22,18.4,,1,40.5,118.33
JP Nagar,5494,6,7,2,13,22.29,9.86,1,72.6,469.2
Hebbal,1267,3,2,2,22,4.81,9.61,1,54.5,176.12
Indiranagar,755,2,1,0,14,8.91,0.4,1,92.0,165.45
Jayanagar,2618,4,4,3,4,14.25,11.4,2,55.1,285.38
Bellandur,501,2,3,1,4,17.16,3.57,0,79.8,81.38
Indiranagar,559,1,1,2,3,21.86,7.59,1,60.7,89.26
Yelahanka,865,3,2,3,29,19.15,7.75,0,61.0,78.21
HSR Layout,1027,2,3,3,19,9.4,,0,50.9,106.08
Whitefield,854,2,3,2,20,20.63,8.41,1,70.2,122.29
Whitefield,1179,3,4,2,25,24.17,6.5,0,74.8,114.25
JP Nagar,1396,2,3,3,8,6.06,7.41,1,74.9,187.15
HSR Layout,2160,4,5,1,29,2.32,5.47,1,91.4,261.43
Hebbal,1262,3,4,1,26,10.95,9.69,0,79.1,191.08
Koramangala,881,1,1,2,11,22.09,7.69,1,84.4,120.32
Electronic City,2097,3,4,2,15,4.18,2.48,2,59.4,148.92
Sarjapur Road,765,1,1,0,21,22.2,9.08,3,65.2,45.74
Whitefield,489,2,3,0,7,24.81,6.13,0,41.1,54.27
Marathahalli,2329,4,4,1,8,1.82,0.64,1,44.7,247.56
Whitefield,2249,5,5,0,11,12.63,4.86,1,63.1,232.73
Indiranagar,776,1,1,3,29,8.56,4.94,0,52.6,67.2
Whitefield,963,3,4,3,19,10.15,9.66,0,88.8,137.24
Jayanagar,725,2,3,3,27,11.57,2.96,2,80.6,127.72
Whitefield,1436,2,2,3,28,18.62,5.54,1,98.2,155.02
Electronic City,3111,5,6,2,6,14.99,,0,93.2,295.45
Electronic City,1766,3,2,3,20,24.05,10.6,1,98.7,169.39
Hebbal,2121,3,2,1,3,8.65,5.44,0,61.9,215.52
Bellandur,1884,4,3,0,27,13.77,10.31,0,69.1,151.71
Koramangala,1200,2,1,1,22,20.43,,1,62.4,139.15
Marathahalli,2177,3,4,2,2,9.64,3.97,2,97.9,224.52
Whitefield,1808,3,3,0,0,11.9,8.61,1,64.2,214.69
Whitefield,2649,5,6,0,6,17.28,5.73,2,47.0,261.67
Sarjapur Road,932,1,1,0,8,21.59,4.23,1,55.0,68.27
Electronic City,461,1,2,3,1,10.68,8.08,3,65.5,113.38
Marathahalli,2132,4,5,2,6,13.53,9.34,1,76.2,226.12
Hebbal,1455,3,2,1,9,24.39,8.33,2,77.1,176.23
JP Nagar,1020,2,2,3,1,1.54,5.66,3,85.5,149.61
Bellandur,1052,2,3,0,12,11.48,3.26,0,78.9,112.2
Koramangala,4891,6,7,1,28,16.08,9.76,1,69.5,479.16
HSR Layout,843,2,1,1,2,0.71,4.29,2,41.8,140.89
Koramangala,751,3,3,1,12,15.12,7.43,1,81.7,139.07
Jayanagar,1258,1,1,2,9,1.88,1.56,1,45.1,187.34
Indiranagar,2297,4,3,3,29,21.51,8.94,2,68.1,273.73
Jayanagar,4202,6,7,2,11,20.27,11.44,1,93.8,471.13
Whitefield,1723,3,3,0,25,1.29,5.5,1,75.8,206.91
Bellandur,597,1,1,0,2,1.7,6.67,2,51.9,88.38
Indiranagar,3548,6,7,1,27,18.96,10.81,3,88.5,445.47
Marathahalli,1187,3,2,1,28,9.55,9.58,4,58.0,98.14
HSR Layout,757,1,2,1,19,14.59,11.55,1,74.6,94.31
Electronic City,663,2,2,2,5,7.12,3.34,1,78.2,104.03
Bellandur,1901,3,2,3,2,4.74,,1,83.9,215.05
Bellandur,1368,2,2,2,28,7.75,5.58,0,43.9,142.92
Jayanagar,1451,2,2,0,24,6.54,5.78,0,91.3,146.27
Whitefield,2435,4,5,1,1,11.48,10.97,1,46.8,248.82
Yelahanka,772,1,1,1,22,18.79,2.63,3,45.7,26.82
Hebbal,2544,6,5,2,21,14.08,10.76,2,67.4,289.11
Jayanagar,902,1,2,0,13,15.42,6.94,0,62.3,102.14
Bellandur,3945,6,7,3,14,12.02,6.53,2,43.3,370.89
Sarjapur Road,1668,3,3,1,17,8.46,5.11,3,50.0,171.76
HSR Layout,723,1,1,1,26,4.02,6.57,0,66.4,102.12
Hebbal,400,1,1,0,18,9.19,9.68,0,89.7,68.7
Jayanagar,1872,3,4,1,21,16.8,6.01,0,47.3,193.93
HSR Layout,977,2,3,3,9,18.48,,4,46.3,132.74
Sarjapur Road,1102,3,4,2,19,11.99,5.12,0,88.3,168.7
JP Nagar,1829,4,3,0,16,16.3,,3,69.5,196.74
Sarjapur Road,2092,2,1,1,16,5.66,5.09,4,61.6,180.37
Sarjapur Road,2352,5,5,1,18,21.57,8.74,1,67.7,251.11
HSR Layout,629,2,3,3,23,21.72,,0,64.7,98.81
Koramangala,2629,4,4,2,26,8.35,9.31,1,86.9,341.18
HSR Layout,873,1,1,3,3,13.92,4.62,3,40.6,103.76
Yelahanka,400,1,1,2,10,15.36,7.03,3,66.0,50.11
Whitefield,628,1,1,3,16,12.07,4.45,1,49.5,34.6
Indiranagar,1353,3,3,2,23,22.82,8.51,1,58.5,182.88
Koramangala,700,3,4,1,9,18.62,5.35,1,46.7,57.82
Electronic City,1143,2,1,1,21,16.98,9.23,0,65.6,88.33
Indiranagar,1445,2,3,1,16,13.24,0.35,1,78.6,196.69
Whitefield,1086,2,2,0,11,2.58,4.21,1,79.7,149.38
Jayanagar,914,1,2,2,9,3.14,10.56,2,87.8,153.73
Hebbal,603,1,1,0,9,7.83,4.02,0,88.9,101.08
Yelahanka,1215,2,1,2,5,5.68,4.86,0,75.9,107.16
Yelahanka,400,1,1,1,16,23.84,9.53,1,61.2,29.85
Electronic City,823,2,2,0,25,10.54,,2,43.1,52.09
Koramangala,720,1,2,0,25,21.98,3.88,0,42.2,46.55
JP Nagar,1052,3,2,3,18,20.54,9.34,0,46.8,79.81
Sarjapur Road,1067,3,2,2,1,20.41,11.49,0,99.0,171.35
Koramangala,2035,4,5,3,3,5.78,9.44,0,87.2,280.12
Hebbal,2867,5,4,0,17,11.46,2.23,1,64.3,265.68
JP Nagar,649,1,1,0,26,8.29,,2,68.0,65.31
Yelahanka,3591,6,6,1,28,24.28,5.81,1,84.2,248.25
HSR Layout,782,1,2,3,20,21.98,,3,70.9,103.28
Hebbal,1319,2,3,3,3,6.62,3.02,0,61.6,161.63
Whitefield,1589,3,4,3,5,8.18,4.23,3,61.0,171.65
Electronic City,4604,6,6,2,13,13.46,10.84,2,52.6,333.96
Whitefield,891,1,2,0,6,7.33,,1,93.1,135.46
Hebbal,447,1,1,3,11,20.7,3.57,0,64.8,25.0
Marathahalli,2724,5,6,1,1,20.57,1.19,1,85.1,245.5
Marathahalli,759,2,1,0,17,18.25,11.16,0,74.4,68.45
Jayanagar,984,2,2,1,23,17.39,3.74,1,85.2,129.83
Koramangala,649,1,1,0,12,13.91,1.62,0,59.3,79.69
Yelahanka,985,1,1,1,12,9.0,4.31,1,85.1,97.82
Yelahanka,756,1,1,3,24,21.0,3.53,1,87.4,58.98
Sarjapur Road,1741,3,3,3,4,21.54,1.15,1,46.3,166.13
Sarjapur Road,1255,2,1,1,6,1.71,11.81,3,45.5,129.03
Sarjapur Road,825,1,1,2,28,10.27,,0,99.1,80.77
HSR Layout,2075,3,4,1,11,1.15,3.41,1,47.1,210.75
Indiranagar,1381,3,4,0,24,21.07,5.16,0,81.1,178.59
Bellandur,435,1,2,1,13,4.84,5.09,0,84.9,86.38
Indiranagar,1990,3,2,1,0,17.01,5.32,1,43.8,230.56
Whitefield,1328,2,1,0,23,9.26,,2,84.8,106.86
Indiranagar,2579,6,6,3,9,20.49,0.91,1,65.2,360.2
HSR Layout,1285,4,3,0,25,12.99,,0,56.5,145.56
Jayanagar,776,3,2,1,24,8.45,8.06,3,79.9,148.44
Whitefield,1072,1,1,0,8,8.43,8.43,4,90.0,130.06
Indiranagar,1867,3,2,1,9,8.51,2.06,1,74.4,241.95
HSR Layout,785,1,1,3,6,19.82,4.08,1,92.2,109.04
Bellandur,942,2,2,1,15,17.92,0.82,2,41.3,119.55
Indiranagar,1062,2,3,1,27,8.32,7.91,1,84.3,156.59
HSR Layout,638,1,1,3,27,12.51,4.21,0,50.2,51.63
Sarjapur Road,792,1,2,0,11,2.37,6.7,1,57.2,78.78
Yelahanka,1319,2,1,2,11,20.77,9.08,1,74.3,98.58
Sarjapur Road,2325,2,3,2,25,7.02,6.73,4,56.5,183.66
Yelahanka,1429,2,2,1,18,22.29,,2,50.1,85.34
Electronic City,1170,3,3,1,28,15.12,0.93,2,93.1,138.62
Electronic City,760,3,3,3,12,14.41,10.43,0,94.4,120.14
Electronic City,2192,5,5,0,20,4.49,3.29,0,42.2,182.28
Bellandur,1523,3,2,2,28,2.2,4.47,0,70.0,162.82
Sarjapur Road,814,1,1,2,17,14.04,2.78,0,52.2,80.79
Yelahanka,1967,3,4,3,26,11.97,8.45,0,91.8,126.75
HSR Layout,1632,2,1,3,25,3.43,4.76,1,67.8,166.84
Whitefield,767,1,1,2,2,20.97,,2,68.7,109.29
HSR Layout,1135,2,3,0,25,10.72,8.16,0,77.6,147.87
Whitefield,915,1,1,0,6,6.88,7.55,3,43.3,90.18
Marathahalli,5108,6,7,0,0,19.81,9.34,0,47.6,366.3
HSR Layout,1608,3,4,1,2,22.87,9.04,2,69.9,154.64
Indiranagar,1330,2,2,0,20,8.0,5.39,1,98.0,175.06
Indiranagar,1556,2,3,1,26,19.51,,2,90.6,180.27
Koramangala,2562,6,7,1,13,16.49,2.83,1,93.4,341.95
Sarjapur Road,1146,2,3,3,3,24.75,8.54,3,48.2,126.33
Whitefield,868,3,2,1,18,5.5,,1,97.5,110.65
Whitefield,1909,4,4,1,21,24.04,5.4,0,83.8,165.65
Hebbal,1090,2,2,3,27,8.22,1.47,1,59.5,126.29
Jayanagar,666,1,2,0,5,10.59,1.64,3,91.9,133.17
Sarjapur Road,599,1,1,0,19,9.29,3.15,3,84.8,91.25
Bellandur,2783,4,4,2,8,7.08,,0,84.2,288.38
Koramangala,1290,1,1,2,10,17.48,,3,84.1,185.22
Bellandur,868,2,3,1,21,14.93,6.9,2,88.1,127.67
Bellandur,1055,2,3,2,14,7.99,8.99,3,96.9,137.77
Bellandur,1871,3,4,3,8,3.74,0.59,1,48.2,190.65
Sarjapur Road,1021,1,1,2,28,8.28,7.29,1,100.0,116.04
Bellandur,541,1,2,2,10,9.84,,2,92.3,104.01
Indiranagar,1436,4,5,1,25,9.83,2.87,1,66.5,240.45
Jayanagar,2332,4,5,3,9,9.25,0.58,1,49.4,296.02
Jayanagar,2248,3,2,2,1,1.69,4.05,0,67.2,291.75
Electronic City,882,2,3,0,21,11.87,9.52,4,86.7,101.63
Marathahalli,2412,6,6,3,13,20.99,6.45,1,76.1,260.2
Whitefield,1349,3,4,3,3,4.92,9.35,2,56.8,192.31
Hebbal,2375,5,5,1,1,4.07,5.07,2,64.4,287.37
Whitefield,1645,4,3,3,4,12.06,10.15,2,97.3,179.78
Marathahalli,520,1,1,3,13,9.58,1.97,1,88.2,64.61
Hebbal,3136,6,7,3,14,14.25,9.88,1,47.4,307.42
Sarjapur Road,1235,3,3,3,18,23.7,5.82,0,72.7,111.49
HSR Layout,1648,3,4,3,5,19.14,9.0,1,95.9,202.07
Sarjapur Road,573,1,2,3,26,17.33,3.04,1,42.1,33.45
Whitefield,1584,2,2,3,14,10.69,5.94,1,42.6,146.95
Whitefield,2201,4,4,0,13,7.54,8.85,2,83.0,239.45
Hebbal,3479,6,6,3,7,13.74,5.91,3,74.5,359.5
Hebbal,2592,4,4,1,19,22.19,5.61,2,42.8,232.29
Marathahalli,1628,3,3,0,11,21.98,9.77,1,99.8,173.98
Bellandur,513,1,1,3,3,11.42,,4,74.8,104.22
Sarjapur Road,1291,2,1,2,20,6.53,5.81,0,69.5,127.22
Hebbal,866,1,1,1,5,6.02,9.9,2,66.9,121.38
Yelahanka,1366,1,1,0,10,1.33,10.17,3,82.0,126.22
Marathahalli,615,1,1,1,22,21.15,1.6,2,67.5,45.43
Indiranagar,1069,1,1,0,21,6.99,10.23,4,79.5,172.37
Whitefield,903,1,2,2,6,9.3,0.34,0,69.3,123.38
Marathahalli,888,1,1,1,24,20.33,10.3,0,76.6,53.78
Sarjapur Road,893,4,3,1,3,3.44,3.32,1,88.3,201.0
Hebbal,1114,3,4,0,25,11.8,7.02,1,89.0,129.4
Whitefield,1405,3,4,0,14,3.5,0.31,1,90.9,180.6
HSR Layout,400,1,1,2,0,11.33,8.83,3,52.2,88.45
Marathahalli,400,1,1,3,8,1.65,5.29,2,43.7,70.96
Koramangala,996,2,1,0,22,13.18,10.18,2,90.2,126.44
Whitefield,1076,1,1,0,19,19.99,6.76,2,42.5,74.08
Sarjapur Road,1332,4,3,0,25,17.07,10.05,0,52.8,147.7
Electronic City,804,2,1,2,7,12.97,7.42,2,71.6,86.95
Yelahanka,1206,3,4,3,11,20.8,9.0,0,91.3,94.73
JP Nagar,1286,2,3,3,6,6.08,9.03,1,93.8,148.4
Bellandur,801,1,1,2,27,20.85,3.11,0,77.7,87.74
JP Nagar,2095,4,4,3,17,7.27,7.01,1,98.0,235.29
Sarjapur Road,1323,2,1,1,0,9.38,10.51,1,83.8,151.18
Indiranagar,1621,3,4,2,8,3.65,10.57,0,71.7,263.31
Indiranagar,1246,3,3,0,6,2.99,4.74,2,48.1,156.88
Electronic City,3817,6,6,3,13,23.34,4.03,0,65.7,305.43
Bellandur,1666,4,4,1,25,5.15,7.92,1,89.3,237.6
Koramangala,918,2,1,2,0,8.67,9.39,1,57.0,136.31
Electronic City,1885,3,3,2,12,13.46,0.62,0,74.7,157.91
Jayanagar,488,1,1,0,19,9.02,1.3,1,99.0,112.08
