location,property_type,bedrooms,bathrooms,area_sqft,age_years,floor,parking_spaces,metro_distance_km,clubhouse,swimming_pool,gym,security_rating,price_inr
New Gurgaon,Apartment,5,6,3027,9,24,3,3.76,1,1,1,4,62041013
Golf Course Road,Builder Floor,4,5,2196,16,19,1,0.38,1,0,0,3,62159096
New Gurgaon,Villa,3,3,1633,24,27,1,7.4,1,1,0,1,27628880
Golf Course Extension Road,Apartment,3,3,1884,20,23,0,6.78,1,1,0,1,46606583
DLF Phase 1,Apartment,2,3,1317,16,21,0,0.99,1,0,1,3,22821402
Sector 85,Apartment,4,5,2215,9,44,0,2.09,0,1,1,3,46152182
Sector 92,Apartment,3,4,1347,7,29,3,7.7,1,1,1,2,30947029
Sector 65,Builder Floor,5,6,2930,6,1,1,3.6,1,1,1,2,58207070
Sector 83,Villa,3,4,1527,13,31,2,13.18,0,0,1,3,28154028
Sector 56,Apartment,4,4,2561,21,27,3,2.68,0,1,1,4,47358865
Sector 56,Apartment,4,4,3229,17,44,2,0.4,1,0,1,3,60575102
Sector 70,Apartment,3,4,1232,20,36,2,6.77,0,1,0,3,26349776
Sector 92,Apartment,2,3,1522,18,27,0,14.79,1,1,1,5,30849864
Sector 56,Apartment,3,3,1996,17,15,2,9.54,1,1,1,4,32907194
Sector 56,Apartment,3,4,2263,13,25,1,5.38,0,0,1,4,36510045
Sector 54,Villa,2,3,1077,9,15,3,0.35,1,0,1,2,22031313
South City 1,Apartment,4,4,1590,0,40,1,7.33,1,0,0,2,33755583
DLF Phase 2,Apartment,3,3,1875,8,19,2,3.18,0,1,0,2,35351451
Sector 92,Builder Floor,5,5,3979,17,11,2,9.75,1,0,1,1,74173701
Sohna Road,Apartment,4,4,1806,12,41,2,8.79,1,1,1,4,38533380
South City 1,Penthouse,3,4,1417,16,33,1,4.05,0,0,0,5,28787288
Golf Course Extension Road,Penthouse,5,5,3411,22,41,1,1.13,0,1,0,2,71919994
Sohna Road,Apartment,3,4,1584,24,23,3,11.35,1,0,0,2,28226846
DLF Phase 1,Apartment,4,5,3333,21,12,0,8.82,1,0,1,2,57732275
New Gurgaon,Apartment,3,4,2073,15,2,1,12.65,1,1,1,2,36847777
DLF Phase 2,Apartment,3,4,1497,23,43,2,3.97,0,1,1,2,29471665
Sector 85,Apartment,3,3,1562,10,21,3,9.83,1,1,1,1,32076578
Sector 82,Apartment,3,4,1579,22,14,1,1.87,0,1,0,5,33385557
DLF Phase 1,Apartment,3,4,1781,8,34,2,4.45,1,1,0,4,38564164
DLF Phase 5,Apartment,3,4,1927,6,15,2,9.88,1,0,1,5,56478868
DLF Phase 2,Apartment,2,2,1264,21,21,1,12.4,1,0,1,3,24788493
Sector 92,Villa,5,5,2212,0,23,2,4.88,0,1,1,4,48863067
DLF Phase 3,Apartment,3,3,2178,8,21,3,12.0,1,1,1,2,47553652
Sector 89,Apartment,3,3,1678,9,14,4,10.2,0,1,0,3,27368818
Sector 85,Apartment,3,3,1410,15,21,0,5.3,0,1,1,3,31780316
Palam Vihar,Penthouse,4,5,2140,20,12,2,13.16,1,0,1,3,38509725
Sector 85,Apartment,5,5,3710,17,42,2,7.69,1,1,0,3,69447513
Sector 70,Builder Floor,3,4,1879,13,5,0,9.76,1,0,0,2,38342319
Sohna Road,Builder Floor,2,2,1277,10,2,2,7.48,1,1,1,3,21742268
Sector 65,Apartment,3,4,1308,23,22,1,6.85,1,0,0,5,23261468
New Gurgaon,Builder Floor,3,3,1855,3,6,1,12.73,1,0,1,2,37370356
Sector 56,Apartment,4,5,2958,18,44,1,4.49,1,0,1,3,54919810
South City 1,Builder Floor,3,3,1042,12,2,1,0.65,0,0,0,3,21997805
Sector 92,Builder Floor,5,6,2727,0,29,2,13.21,1,0,1,5,55726963
Sector 84,Apartment,3,4,2061,20,36,1,12.39,1,0,1,1,37841235
Sector 54,Apartment,5,6,3110,18,7,2,5.56,1,1,0,1,60886866
DLF Phase 2,Builder Floor,1,2,457,14,16,1,2.86,1,1,1,5,15325649
DLF Phase 4,Apartment,4,5,2623,19,33,2,10.17,0,0,1,1,59783635
DLF Phase 1,Apartment,5,6,2182,14,33,3,1.27,0,1,0,4,50132651
Sector 82,Apartment,5,5,2392,24,14,1,6.41,1,1,0,4,52668657
Sector 67,Apartment,1,1,493,10,43,2,1.38,0,1,1,4,12614393
Sohna Road,Builder Floor,2,3,1632,22,12,2,9.01,1,1,1,1,32427749
DLF Phase 4,Apartment,3,4,1098,4,43,2,0.51,0,1,1,4,41434788
Sector 56,Apartment,1,2,450,23,6,1,9.48,1,0,0,4,7591348
Sector 89,Apartment,2,3,1279,21,12,2,10.13,0,0,1,1,22897516
Sector 85,Builder Floor,2,3,1229,9,31,0,7.36,1,0,1,5,24426863
DLF Phase 5,Apartment,3,4,1602,17,12,1,2.71,0,0,1,2,46573211
Sector 89,Builder Floor,3,4,1805,6,10,2,1.61,1,1,1,4,34185822
South City 1,Apartment,1,1,450,0,40,0,4.77,0,0,1,1,12166247
Palam Vihar,Villa,2,3,1225,2,27,2,7.03,1,1,1,2,28011232
Sector 83,Apartment,3,4,1888,0,7,2,9.67,1,1,0,2,32001206
DLF Phase 1,Apartment,3,3,2310,16,36,3,0.12,1,1,1,3,45191819
Sector 65,Apartment,2,2,1734,14,33,1,10.69,1,1,1,2,30634477
DLF Phase 2,Villa,3,4,1687,4,27,4,10.72,1,0,1,4,32796642
New Gurgaon,Villa,4,4,1686,21,8,2,6.72,1,1,1,5,36277199
Sohna Road,Apartment,5,5,3269,15,5,1,5.22,1,1,1,4,58613098
Sector 85,Builder Floor,5,5,2906,11,8,1,12.65,1,0,1,3,53338328
Sector 83,Builder Floor,4,5,2300,18,40,2,11.79,0,0,1,2,39670816
DLF Phase 5,Apartment,3,4,1123,13,21,3,14.75,1,0,0,3,43839545
Palam Vihar,Apartment,3,3,1841,2,24,2,5.64,1,1,0,4,35762021
Sector 67,Apartment,3,4,1977,18,7,2,13.61,1,0,1,4,34067868
Sector 89,Apartment,3,4,2217,0,19,1,1.4,1,1,1,4,41910750
DLF Phase 3,Villa,2,3,1058,20,31,1,6.23,0,1,1,5,32512906
Sohna Road,Villa,3,3,1453,0,36,1,7.03,1,0,0,4,32079697
Sector 65,Builder Floor,3,3,1584,9,27,2,6.67,1,1,1,4,31229655
DLF Phase 2,Apartment,1,1,730,2,29,1,9.41,1,0,0,2,14241462
Sector 54,Apartment,4,4,3176,12,23,1,2.64,1,0,1,5,49154291
Sector 65,Builder Floor,1,2,756,5,20,1,13.01,0,0,1,2,10120672
Sector 85,Villa,2,3,1381,10,6,3,8.32,1,1,1,3,30387976
Sector 67,Villa,1,2,595,5,12,2,13.57,1,1,1,1,10843414
DLF Phase 5,Builder Floor,3,3,1851,2,12,1,0.14,0,0,1,2,50830361
Palam Vihar,Builder Floor,2,2,1275,15,3,3,9.49,1,0,0,5,28422476
Sector 65,Apartment,4,5,2258,8,42,1,6.25,1,1,1,2,40014692
DLF Phase 2,Apartment,3,3,2173,7,39,0,7.63,0,1,1,1,35235965
DLF Phase 5,Villa,3,3,1105,2,35,1,11.18,0,0,1,2,38811348
Golf Course Extension Road,Apartment,3,4,1183,4,19,1,3.48,1,1,1,1,37136689
Sector 65,Apartment,3,3,1105,20,4,1,3.15,0,1,1,5,27775938
Sector 83,Apartment,4,4,1950,13,31,2,10.57,1,0,1,2,37473034
South City 1,Builder Floor,3,4,2365,4,42,2,7.87,1,0,1,5,51339741
Sohna Road,Apartment,4,4,1734,18,38,2,3.58,1,0,1,5,30405607
Sector 57,Apartment,4,5,1754,4,33,2,7.31,1,1,0,3,41025825
Sector 82,Apartment,4,5,1937,20,6,3,6.95,1,0,1,3,37497653
DLF Phase 5,Builder Floor,3,3,2265,19,8,1,10.4,1,1,0,2,55625805
Sector 67,Builder Floor,2,3,1601,19,28,2,0.14,1,1,0,2,27731732
DLF Phase 5,Apartment,3,3,2226,1,15,2,8.84,1,1,1,5,59730383
Sector 54,Builder Floor,3,3,2252,24,31,3,9.12,1,0,0,3,41075685
Sector 56,Apartment,3,3,2493,6,8,1,11.21,1,1,0,2,41822291
Sector 92,Apartment,4,4,1393,0,6,1,13.35,1,1,0,2,31105249
Sector 67,Builder Floor,4,4,1714,20,29,2,6.66,1,1,1,2,38235215
Sector 57,Builder Floor,4,4,2007,17,34,2,5.2,1,1,0,3,33308394
New Gurgaon,Villa,2,2,1229,9,7,1,1.62,0,1,1,2,29915620
Sector 70,Builder Floor,1,1,614,5,40,2,5.12,1,1,1,5,17412852
Sector 85,Apartment,2,2,1232,6,10,1,1.12,0,0,1,2,25218457
Sector 82,Apartment,4,5,2867,11,13,4,12.06,0,0,0,4,53092140
Sector 56,Apartment,4,5,1326,17,22,1,12.12,1,1,1,1,29582474
Golf Course Extension Road,Apartment,3,3,1741,10,21,1,6.32,1,1,1,5,44684287
Sohna Road,Apartment,3,3,1911,21,1,0,3.97,1,0,1,2,36772196
DLF Phase 3,Penthouse,4,4,2217,18,41,2,1.86,1,1,1,4,53358046
Sector 82,Apartment,5,6,3132,24,42,1,12.78,1,1,0,3,53751383
Sector 83,Villa,4,5,2972,3,2,2,13.17,1,0,1,5,59026671
DLF Phase 4,Builder Floor,3,3,1826,18,29,3,4.07,1,1,0,5,47504019
New Gurgaon,Builder Floor,3,3,2697,12,11,1,9.36,0,0,1,2,48165838
Golf Course Road,Apartment,2,2,1466,18,37,2,3.95,1,1,0,3,47825307
DLF Phase 1,Apartment,3,4,1911,1,7,0,3.45,1,0,1,2,39395168
DLF Phase 4,Apartment,3,3,2011,8,35,1,0.42,1,1,1,4,51622190
Sector 54,Apartment,2,3,1408,7,30,1,8.7,1,0,1,1,22899932
Sector 65,Builder Floor,4,5,3343,20,16,1,2.33,1,0,1,3,61619238
DLF Phase 5,Apartment,3,3,2293,13,15,2,0.28,1,0,1,1,64472458
South City 1,Apartment,5,6,3359,8,40,1,1.66,1,1,0,4,68124298
New Gurgaon,Builder Floor,2,2,995,12,20,3,4.78,0,0,1,5,21135851
Sector 83,Apartment,3,4,1974,17,28,2,10.07,1,1,1,4,33522645
Sector 67,Villa,3,4,2043,5,37,2,3.12,1,0,1,1,32927552
Sector 67,Villa,2,2,1417,22,3,3,13.33,1,1,1,3,29812827
Sector 84,Villa,3,3,1491,21,29,3,4.4,1,1,0,2,27376000
Golf Course Extension Road,Apartment,2,3,1406,2,37,2,5.04,1,0,1,1,43444905
Sohna Road,Apartment,2,3,1424,9,9,2,3.35,1,0,1,3,29295429
Sector 67,Villa,2,3,861,9,27,1,3.88,0,0,1,1,11476643
South City 1,Apartment,2,2,863,9,32,2,1.2,1,1,1,5,19799690
Sector 83,Penthouse,4,4,3026,8,39,2,4.49,1,1,1,5,58190076
DLF Phase 4,Penthouse,1,1,480,11,31,3,12.91,1,0,1,2,18490850
Sohna Road,Villa,3,3,2445,23,26,1,10.36,0,1,1,5,40246672
Sector 83,Apartment,4,5,2243,7,40,1,13.14,1,0,1,4,40245200
New Gurgaon,Apartment,3,4,1961,23,3,1,1.66,0,0,1,2,39488265
Sector 56,Villa,5,6,3235,8,11,3,6.89,1,1,1,1,59653774
Sector 65,Apartment,3,4,1499,16,29,1,3.52,1,0,1,4,31690923
Sector 65,Apartment,4,5,3178,7,27,2,10.85,0,1,1,3,54912652
DLF Phase 5,Apartment,2,2,1122,17,10,2,14.56,0,1,0,1,34319080
Sector 83,Villa,4,4,2432,19,35,1,12.25,1,0,1,5,43870337
DLF Phase 1,Builder Floor,4,5,1289,16,23,2,0.63,1,1,0,1,30610618
Sector 57,Apartment,3,4,1238,5,6,2,4.82,1,1,1,5,29182948
Sector 65,Apartment,2,3,1515,9,11,1,0.53,1,0,1,4,24292510
DLF Phase 5,Apartment,3,4,1797,0,43,2,0.7,1,0,0,4,57989666
Palam Vihar,Penthouse,4,5,2072,20,27,4,1.28,1,0,1,4,46857004
Sector 92,Apartment,3,4,1560,24,31,4,4.22,1,1,1,2,31556520
Palam Vihar,Apartment,4,5,2707,0,30,2,4.63,1,1,1,5,53483876
DLF Phase 3,Villa,2,3,1552,8,3,2,6.07,0,1,0,1,41259127
DLF Phase 5,Builder Floor,4,4,2085,19,13,1,6.13,0,1,1,1,58980431
DLF Phase 2,Builder Floor,2,3,1506,2,40,4,11.59,0,1,0,1,27712861
Sector 70,Builder Floor,2,3,1155,23,21,1,2.21,1,0,0,2,19537012
DLF Phase 2,Apartment,3,3,2010,5,43,2,2.45,1,1,0,2,38910244
Sector 67,Apartment,2,2,702,6,11,0,9.44,0,0,0,5,9178714
Golf Course Extension Road,Builder Floor,1,2,450,8,3,1,8.62,1,0,1,2,22109400
Sector 56,Builder Floor,2,2,1429,4,38,1,2.39,1,1,1,4,32932319
Sector 67,Villa,3,3,1915,15,31,2,12.8,0,1,1,1,27535097
Sector 83,Villa,4,5,2626,1,24,2,5.0,0,1,1,4,44687318
Sector 70,Apartment,4,4,1795,2,42,2,5.57,1,0,1,2,40807873
Sector 54,Apartment,3,4,1622,2,12,1,6.36,0,1,0,1,38827729
Sector 56,Builder Floor,1,2,450,19,43,3,4.91,0,1,1,3,15164042
Golf Course Road,Builder Floor,3,4,1444,22,27,0,8.41,0,1,1,4,48846423
DLF Phase 4,Builder Floor,3,3,1790,9,21,1,5.89,1,1,0,3,51413702
New Gurgaon,Builder Floor,2,2,1291,21,25,2,3.97,0,0,1,5,26775699
DLF Phase 1,Villa,2,3,1000,2,30,3,13.58,0,1,1,4,16763390
Golf Course Extension Road,Apartment,2,3,1354,14,30,1,4.69,1,1,0,1,31538924
Sector 57,Apartment,4,4,2378,13,10,2,10.51,0,0,0,1,42264314
Sohna Road,Apartment,3,4,1705,22,3,2,5.27,1,0,1,3,29637029
DLF Phase 5,Apartment,4,4,2446,3,13,3,6.58,0,0,1,1,65760635
Sector 89,Apartment,2,2,1787,9,27,1,3.62,0,1,1,4,31007340
Sector 56,Apartment,2,2,1154,10,18,2,11.31,1,0,1,2,26770224
Sector 54,Apartment,3,3,2199,10,24,1,11.08,0,0,1,2,40402988
Sector 82,Apartment,3,3,2029,7,14,0,0.43,0,0,1,1,37131920
Golf Course Road,Apartment,1,1,565,22,39,1,1.0,1,0,1,5,26409895
Sector 82,Apartment,2,3,765,22,44,4,13.84,0,0,1,4,15878960
DLF Phase 5,Apartment,2,3,1024,8,4,1,13.34,1,0,1,5,39290750
Sector 89,Builder Floor,2,2,1221,7,16,3,7.64,0,1,1,3,23109393
Palam Vihar,Apartment,3,3,1755,11,10,1,7.45,0,0,0,1,29887673
Sector 89,Apartment,5,6,3907,16,37,3,12.21,0,1,0,3,67553873
Sector 56,Apartment,3,4,1491,22,27,2,2.16,1,1,1,5,35380773
Sector 65,Builder Floor,3,4,1738,14,1,1,9.84,1,1,1,4,37746063
Palam Vihar,Apartment,3,4,2025,18,5,2,7.19,1,0,1,5,36695413
DLF Phase 4,Builder Floor,2,3,1122,19,13,1,11.18,1,1,1,2,36772636
Sector 85,Apartment,1,2,736,5,3,1,0.55,1,1,1,5,18197411
Sector 83,Apartment,3,4,1343,4,17,2,8.93,1,0,0,5,25177758
Sohna Road,Apartment,3,4,1161,7,19,2,8.4,1,0,1,5,24426444
DLF Phase 4,Apartment,2,2,1119,17,37,2,12.63,1,0,1,5,39359152
South City 1,Builder Floor,4,5,2360,20,5,3,10.18,1,0,1,4,41585729
Sector 65,Builder Floor,3,3,1891,20,42,1,13.21,1,1,1,1,31439505
DLF Phase 2,Penthouse,2,3,1238,14,44,3,13.32,1,0,0,4,21921108
DLF Phase 4,Apartment,2,3,1085,2,24,3,6.18,0,1,1,3,37747309
DLF Phase 5,Apartment,3,4,1166,13,43,0,2.15,1,1,1,2,41334775
DLF Phase 3,Builder Floor,4,5,2333,14,33,0,9.49,1,0,0,1,51947074
Sector 57,Apartment,2,3,909,12,21,2,13.12,0,0,1,2,11237236
New Gurgaon,Apartment,2,2,1219,20,3,2,1.22,1,1,1,2,25157276
Sector 85,Apartment,3,4,1334,19,4,1,8.41,1,1,1,1,26293383
Sector 54,Apartment,2,2,1306,20,32,1,1.81,1,0,0,1,18439075
DLF Phase 3,Penthouse,3,3,2500,8,24,2,0.5,0,1,1,3,54193614
South City 1,Builder Floor,3,4,1495,22,35,2,10.23,0,1,1,4,22078333
DLF Phase 2,Builder Floor,2,2,845,16,18,1,10.26,0,1,1,1,12039030
Sector 57,Apartment,1,2,760,18,3,3,9.05,0,0,1,3,7323935
Sector 70,Apartment,3,4,2542,24,39,2,12.9,1,1,1,5,50765171
DLF Phase 4,Apartment,2,3,851,3,26,1,1.31,1,1,0,1,35616301
Sector 57,Apartment,2,2,1174,19,24,2,1.67,1,0,1,4,22635043
Sector 67,Apartment,4,5,2672,9,1,1,12.98,0,0,0,5,45764568
Sector 85,Builder Floor,2,2,1127,21,34,2,7.6,0,1,1,5,21488070
Sector 82,Builder Floor,3,4,1064,2,12,1,4.17,1,0,0,5,26176393
Sector 56,Apartment,2,3,815,18,17,0,11.1,1,0,0,5,17853210
Sector 83,Villa,3,3,1267,8,21,1,13.43,1,1,1,2,24451936
Sector 65,Builder Floor,2,2,908,4,21,1,10.38,1,1,1,4,17684204
Sector 92,Apartment,5,5,3060,13,3,2,11.9,1,1,1,3,55727642
DLF Phase 5,Apartment,3,3,2261,6,44,2,4.31,0,0,1,1,58209337
DLF Phase 2,Apartment,2,2,819,20,28,1,4.4,1,0,1,3,16658416
Sector 56,Apartment,3,3,1469,5,25,0,12.98,0,1,0,2,31737448
DLF Phase 1,Apartment,3,4,1333,23,44,3,9.26,1,1,1,5,31180110
Golf Course Extension Road,Builder Floor,3,3,1921,7,6,0,3.59,1,1,1,1,48123049
Sector 84,Apartment,4,5,1939,1,42,1,7.91,1,0,1,4,48376408
Sector 83,Apartment,3,4,1375,24,30,2,10.32,0,1,0,1,26695422
