location,area_sqft,bedrooms,bathrooms,balconies,age_years,distance_to_it_hub_km,nearest_metro_km,parking_spaces,amenity_score,price_lakh
HSR Layout,803,1,1,2,0,16.15,4.16,0,38.5,361.7
Electronic City,789,1,1,3,11,27.18,14.11,0,60.1,250.27
HSR Layout,4743,6,7,2,34,17.6,14.46,4,90.5,817.37
Bellandur,1672,3,4,1,12,21.56,12.26,2,56.2,440.48
Indiranagar,2478,6,7,3,21,4.3,5.02,0,60.9,823.76
Koramangala,1457,2,3,0,8,24.14,12.43,0,82.8,469.81
Electronic City,6500,6,7,3,28,23.03,3.31,1,99.8,632.78
Bellandur,450,1,2,1,21,26.12,13.55,2,90.5,315.51
HSR Layout,876,2,2,0,24,9.87,9.78,0,41.2,382.81
HSR Layout,901,1,1,3,29,9.1,13.6,0,44.1,375.0
Indiranagar,957,3,2,1,27,11.62,11.49,2,79.7,330.11
Koramangala,2174,2,1,3,9,27.36,8.85,1,72.9,484.74
Hebbal,1272,4,4,1,12,20.1,,2,94.4,414.09
Koramangala,1832,4,5,3,28,26.17,6.23,0,90.2,599.0
Bellandur,2363,1,1,3,2,8.34,6.97,1,40.2,396.39
Bellandur,1389,2,3,0,11,22.97,6.74,2,50.8,423.48
Indiranagar,1927,3,2,1,25,2.35,12.09,0,67.7,575.58
Whitefield,901,1,2,2,11,14.5,2.39,0,61.1,269.6
Whitefield,789,2,2,0,18,4.09,7.27,2,41.9,203.01
Yelahanka,675,3,2,2,15,20.74,14.28,1,91.6,308.55
Hebbal,1268,4,3,3,30,5.43,7.65,4,68.7,314.68
Hebbal,645,4,4,3,10,28.28,10.98,1,53.2,279.9
Bellandur,599,1,1,2,18,22.33,10.97,3,45.5,208.34
JP Nagar,1833,1,1,2,17,21.46,14.41,3,94.7,500.12
JP Nagar,655,1,1,2,3,10.39,7.08,0,73.8,256.65
Hebbal,1735,4,4,2,21,17.6,,1,36.2,395.93
Koramangala,973,2,2,1,7,21.86,7.27,0,40.3,348.48
Electronic City,824,1,2,1,4,28.33,4.16,0,35.5,25.93
Koramangala,2166,4,4,1,32,1.98,2.0,1,92.3,670.0
Hebbal,2287,4,3,2,16,17.8,2.24,1,52.5,526.42
Indiranagar,1379,5,5,0,13,25.73,2.31,1,66.4,444.0
JP Nagar,3001,6,6,2,1,10.13,,1,96.4,596.75
Yelahanka,450,1,2,0,27,29.03,2.32,1,92.1,123.78
JP Nagar,2423,3,2,3,15,20.76,8.61,2,79.1,540.89
Jayanagar,712,1,2,3,1,21.27,,0,44.4,315.27
Electronic City,1033,2,1,1,8,23.79,0.87,1,81.0,329.14
Indiranagar,1515,2,1,3,29,5.57,7.73,1,40.1,475.49
Jayanagar,764,3,4,0,8,18.67,,1,79.3,307.24
Electronic City,1167,3,4,0,4,25.41,13.08,1,59.9,276.24
Indiranagar,909,1,2,0,21,29.13,5.46,0,69.8,371.3
Yelahanka,1035,3,3,2,25,24.99,13.99,1,63.3,414.87
Hebbal,4713,6,5,1,0,27.81,4.31,1,55.5,621.69
Indiranagar,450,1,1,0,20,9.91,,1,35.6,271.88
Electronic City,1044,2,3,3,15,19.63,8.18,2,40.3,359.71
HSR Layout,1549,3,2,2,8,11.53,4.44,1,81.1,500.18
Electronic City,575,2,3,1,30,28.11,7.38,2,95.9,227.18
Hebbal,1076,4,3,3,25,23.61,10.74,0,38.1,365.85
Indiranagar,1461,2,2,0,20,5.04,11.84,0,41.5,515.89
Marathahalli,1516,3,3,1,23,10.41,8.36,2,80.7,312.73
Electronic City,2049,1,1,2,3,19.87,0.61,2,53.4,357.66
Sarjapur Road,2448,5,6,0,32,12.08,10.71,1,85.1,503.82
Marathahalli,968,2,1,2,30,8.94,11.07,1,82.5,277.77
Sarjapur Road,1270,3,3,3,9,10.08,8.17,0,96.0,373.49
Sarjapur Road,477,1,2,3,0,2.57,5.54,1,71.5,303.74
Yelahanka,1160,3,2,3,20,18.9,13.65,2,91.7,252.14
HSR Layout,467,1,1,2,21,13.27,14.9,1,76.2,231.15
Sarjapur Road,1209,1,1,2,31,18.21,1.34,1,72.9,329.67
Jayanagar,2049,3,2,0,33,7.65,12.6,2,41.8,508.32
Koramangala,1570,3,2,0,17,16.54,0.97,1,85.6,618.54
Indiranagar,1273,3,3,1,23,12.2,,4,92.1,521.96
Yelahanka,2028,3,4,1,7,7.66,2.46,2,45.6,283.84
Electronic City,2408,4,5,2,5,16.59,6.79,3,57.4,334.3
HSR Layout,700,1,1,2,28,15.26,9.33,1,43.6,330.57
Jayanagar,2594,2,1,1,23,3.45,2.07,2,41.8,615.49
JP Nagar,734,1,2,0,15,13.14,3.8,1,69.3,244.31
Hebbal,898,1,2,0,28,5.25,0.41,3,68.0,235.3
Jayanagar,1923,2,2,2,31,13.09,10.54,3,78.5,349.48
JP Nagar,1347,2,2,1,20,13.34,11.77,1,80.5,271.52
HSR Layout,1182,1,1,2,23,2.64,,1,37.7,223.19
JP Nagar,1343,1,1,0,34,23.85,12.8,3,90.1,291.13
JP Nagar,2818,6,5,0,8,11.78,11.94,1,43.0,533.64
Jayanagar,1254,1,1,0,22,18.81,12.22,1,54.9,362.57
Indiranagar,1948,2,2,1,9,2.56,5.01,1,97.3,536.01
Yelahanka,1916,2,2,3,24,13.86,9.12,0,89.8,373.18
Jayanagar,4661,6,6,3,6,14.43,12.04,0,90.3,742.11
Yelahanka,2949,6,7,0,19,11.27,14.78,3,38.6,434.14
Jayanagar,1897,5,4,3,17,9.35,6.01,3,82.0,574.58
HSR Layout,1916,3,3,2,18,9.85,3.59,2,47.0,393.47
HSR Layout,1339,2,2,1,25,20.21,1.07,0,94.7,393.75
Marathahalli,1080,1,1,1,18,21.89,1.2,1,78.9,213.99
Jayanagar,1190,1,2,2,21,27.23,12.37,0,44.6,319.04
Koramangala,1219,4,4,0,22,8.1,3.39,2,57.3,501.52
Whitefield,896,1,1,2,2,21.21,13.62,1,42.0,352.11
Hebbal,917,2,1,2,26,4.33,9.16,3,75.6,323.47
Indiranagar,1151,2,1,2,25,3.99,3.96,0,83.4,380.21
Indiranagar,972,2,3,2,34,29.92,2.29,4,51.0,433.85
Bellandur,1058,1,1,3,3,8.14,14.95,0,41.6,331.3
Bellandur,1077,3,2,2,32,1.0,14.62,2,68.2,291.25
Marathahalli,2162,5,4,1,34,9.41,1.61,1,40.3,292.34
Whitefield,2008,3,4,0,28,28.17,0.5,0,44.3,246.14
Hebbal,2336,6,5,2,24,23.26,9.73,1,84.3,471.8
Yelahanka,2696,5,4,3,12,21.61,14.9,1,49.4,404.49
Sarjapur Road,751,1,1,3,30,10.31,2.02,3,61.5,140.07
Marathahalli,1223,1,1,2,34,8.5,2.58,1,65.2,285.69
Electronic City,1460,3,3,3,23,29.98,4.32,1,37.6,358.34
Marathahalli,1600,3,4,2,21,23.26,13.61,1,35.9,261.97
Yelahanka,1675,3,3,1,11,11.45,9.52,1,50.1,321.71
Jayanagar,3021,5,5,3,5,20.51,1.15,1,64.1,545.57
Sarjapur Road,840,1,2,2,19,6.65,9.25,0,81.4,411.95
JP Nagar,1394,3,4,2,29,13.82,1.01,2,93.0,316.2
Bellandur,544,1,2,0,14,3.08,8.93,0,66.1,264.38
HSR Layout,1574,3,2,1,10,13.05,,1,61.7,436.37
Whitefield,450,1,2,2,18,16.51,5.2,1,46.3,282.44
HSR Layout,1517,3,3,1,18,29.46,10.34,2,46.0,508.45
Indiranagar,2688,4,4,1,5,12.31,7.32,1,75.6,633.08
Jayanagar,1798,4,3,2,7,13.35,,0,52.4,544.07
Indiranagar,601,1,2,1,20,7.85,4.61,1,80.2,508.88
Sarjapur Road,725,2,3,2,29,8.65,7.26,0,48.7,267.21
Marathahalli,1792,3,4,0,28,25.53,3.67,0,41.0,435.29
Electronic City,1115,2,1,0,5,11.73,0.3,3,79.3,297.56
Indiranagar,450,3,3,1,4,7.16,1.64,4,74.7,479.72
Marathahalli,3014,3,2,3,18,5.59,3.8,0,83.3,432.03
Yelahanka,1354,3,3,0,19,19.39,5.74,2,77.8,307.11
Electronic City,474,1,1,0,12,0.6,6.41,0,90.2,125.86
JP Nagar,1397,4,4,1,14,20.13,8.53,2,81.0,454.01
Sarjapur Road,5062,6,5,3,18,4.37,4.44,3,93.2,719.91
JP Nagar,1091,2,3,2,34,7.77,11.82,1,60.6,324.56
Hebbal,1080,1,2,0,26,26.78,14.49,1,96.2,549.85
Marathahalli,791,1,2,2,0,3.9,0.38,1,88.6,237.91
Whitefield,1827,3,2,2,30,6.7,11.58,1,67.5,383.56
Yelahanka,1413,3,3,2,5,20.92,1.24,4,98.5,430.88
HSR Layout,2034,2,3,2,24,4.07,11.09,0,92.6,616.06
HSR Layout,749,1,2,2,29,14.03,11.25,1,80.4,294.29
HSR Layout,1927,3,3,2,34,5.23,7.72,1,91.8,479.45
Electronic City,558,1,2,1,32,27.34,,0,44.0,201.89
Indiranagar,1657,3,3,3,19,19.34,6.06,1,52.5,489.49
Koramangala,717,1,2,2,30,25.81,6.18,0,58.4,237.99
HSR Layout,1230,1,1,3,22,7.06,8.54,0,76.0,423.0
Electronic City,450,1,2,3,3,15.99,6.68,4,75.9,231.47
Indiranagar,1279,3,3,2,5,4.89,2.04,1,42.1,531.61
Sarjapur Road,1185,4,5,0,16,9.23,6.34,1,51.3,419.62
Koramangala,450,1,1,0,15,3.14,11.32,2,57.5,253.25
Marathahalli,3697,4,3,0,5,26.28,7.01,2,89.2,481.83
Yelahanka,1798,4,3,2,13,15.19,6.51,1,45.8,396.38
Hebbal,591,1,1,3,22,3.64,2.56,0,80.1,273.31
Yelahanka,623,2,1,0,1,0.75,2.44,1,36.8,211.76
Bellandur,1021,4,4,1,28,24.75,2.16,1,99.0,298.19
JP Nagar,830,3,3,3,10,12.67,7.89,0,89.1,473.22
Indiranagar,1130,2,3,0,34,9.38,7.93,3,88.1,539.37
Hebbal,450,1,1,3,25,19.52,3.96,3,88.9,262.71
Marathahalli,3605,6,5,1,26,1.42,7.48,1,60.2,523.45
Yelahanka,753,1,1,1,27,27.55,7.52,0,93.0,190.33
Sarjapur Road,2638,4,5,2,31,25.16,0.56,0,40.7,518.13
Bellandur,1076,3,4,0,0,15.75,5.37,0,49.3,335.3
HSR Layout,5891,6,7,2,6,19.03,11.79,1,48.7,877.2
HSR Layout,2097,3,2,0,14,21.01,11.34,3,74.7,431.44
Electronic City,2394,5,5,1,16,22.9,3.28,0,47.8,400.8
Indiranagar,2611,3,2,3,20,24.77,3.61,2,39.7,667.34
Hebbal,1267,2,3,2,29,9.96,10.05,1,51.3,425.26
Marathahalli,1324,3,3,3,7,10.18,7.48,1,50.9,426.33
Indiranagar,1106,4,5,0,19,28.94,12.32,0,49.8,375.87
Indiranagar,1518,4,3,0,3,2.89,6.51,1,38.6,620.76
Indiranagar,1261,2,3,2,23,3.97,11.77,0,39.6,382.71
Marathahalli,1518,1,2,1,30,25.15,,2,76.4,222.45
Whitefield,716,1,1,2,11,17.01,3.64,2,60.6,227.32
Whitefield,915,2,3,2,26,21.3,1.64,3,39.9,310.73
Hebbal,1721,3,3,1,16,2.05,2.0,1,68.0,485.01
Electronic City,1216,2,2,1,25,13.59,1.26,1,50.5,342.66
Whitefield,1644,1,2,1,1,18.7,10.12,3,40.5,405.57
Bellandur,1856,3,2,3,13,13.45,,2,36.8,454.39
Jayanagar,2137,3,2,1,13,28.22,8.42,0,48.5,564.68
JP Nagar,1654,2,3,0,16,17.81,,1,72.7,370.6
Marathahalli,1032,2,1,3,26,4.93,7.31,0,80.9,306.91
Bellandur,684,1,2,0,25,8.87,4.0,2,79.0,281.3
Marathahalli,2547,4,5,3,7,12.66,3.74,0,79.2,584.94
Whitefield,765,1,1,1,20,0.61,7.76,2,57.1,365.92
Indiranagar,1200,1,2,3,25,3.52,10.7,3,69.7,535.94
Electronic City,3434,5,4,2,11,17.42,14.42,1,52.5,483.97
Sarjapur Road,717,1,1,0,10,1.11,1.43,2,96.2,247.94
JP Nagar,1005,3,3,1,1,1.79,7.11,0,47.1,464.98
Sarjapur Road,1296,3,3,1,23,23.55,7.68,1,67.0,331.46
Indiranagar,450,1,2,1,30,24.4,1.41,1,87.3,278.44
JP Nagar,599,1,1,2,13,19.38,3.49,2,59.0,323.41
Indiranagar,2707,5,6,3,26,4.79,0.52,4,71.4,873.87
HSR Layout,1610,3,3,3,0,17.25,9.95,4,97.2,440.36
JP Nagar,2052,2,3,2,23,12.0,6.97,1,54.3,506.31
Koramangala,1417,1,1,1,26,29.59,1.2,1,50.4,485.22
Electronic City,450,1,1,0,28,26.47,13.1,2,41.6,40.74
Hebbal,619,2,3,3,29,9.03,11.48,2,64.5,359.62
Bellandur,450,1,1,1,20,19.14,0.83,2,63.6,299.35
Electronic City,1821,5,5,0,12,21.04,12.19,1,48.2,427.59
Koramangala,6500,6,5,3,2,22.9,3.36,0,60.7,1013.71
Marathahalli,450,1,1,1,1,18.51,3.32,2,97.0,164.14
Yelahanka,2407,5,6,1,24,11.52,13.68,2,74.3,425.15
JP Nagar,2436,3,4,1,30,5.37,2.4,3,80.2,611.2
Whitefield,1355,1,1,1,28,12.82,10.24,3,70.1,384.69
HSR Layout,492,1,1,0,11,6.33,9.69,0,38.2,226.66
Electronic City,683,1,1,3,31,3.99,,0,81.7,98.34
HSR Layout,450,1,1,0,10,27.85,14.56,1,53.3,274.42
Indiranagar,1106,1,1,0,6,11.62,9.9,1,62.8,584.2
Indiranagar,1382,2,2,0,3,12.6,2.8,1,79.7,495.76
Indiranagar,2048,3,4,3,13,6.06,4.45,1,52.8,571.21
Marathahalli,1051,3,4,1,30,9.11,6.9,1,54.1,391.41
HSR Layout,692,1,1,2,2,4.25,2.06,1,76.1,434.42
Koramangala,766,1,1,0,25,15.8,8.44,1,76.1,509.74
HSR Layout,1102,2,1,0,21,26.54,12.71,1,36.6,357.02
Marathahalli,1460,2,1,1,26,24.27,9.85,1,52.1,339.18
Electronic City,2964,5,4,3,16,10.26,,0,84.9,370.8
Marathahalli,4538,6,7,0,22,22.29,4.42,0,69.7,558.74
Yelahanka,1194,1,2,3,30,4.69,5.31,3,50.8,342.69
Electronic City,596,1,1,0,7,18.75,5.06,3,63.8,203.35
HSR Layout,2667,4,3,0,15,8.77,10.61,2,83.4,530.21
Yelahanka,6324,6,7,1,32,28.96,8.16,0,79.8,638.66
Electronic City,735,1,2,2,17,2.09,9.62,1,46.0,184.63
Marathahalli,868,1,1,0,1,29.08,7.71,2,69.5,322.01
Koramangala,1110,1,2,2,14,11.12,9.49,2,78.8,391.38
JP Nagar,1217,3,3,3,14,27.02,9.9,0,63.0,414.3
Electronic City,773,1,2,0,10,19.37,,2,49.0,167.29
Marathahalli,487,1,1,1,23,4.51,,1,85.4,205.21
Whitefield,1787,1,1,3,31,13.43,5.96,1,75.0,386.22
Indiranagar,1099,1,1,0,19,11.67,10.91,4,41.0,448.61
Whitefield,2500,4,5,2,2,16.27,5.97,0,39.6,425.24
JP Nagar,1709,3,4,3,26,0.73,0.78,2,45.2,448.91
HSR Layout,2329,5,5,3,9,24.0,,1,71.9,538.4
Whitefield,1250,1,1,0,5,21.57,10.73,2,59.6,310.26
Koramangala,1893,3,3,1,0,24.97,14.13,0,50.4,407.78
Sarjapur Road,748,1,1,0,9,27.92,2.04,3,55.0,322.73
Indiranagar,1664,1,1,0,3,18.32,11.65,1,45.0,435.69
JP Nagar,2316,5,6,2,21,5.83,7.44,0,96.3,526.68
Marathahalli,2845,4,5,1,3,25.01,1.18,1,46.9,587.61
Electronic City,992,2,2,3,7,29.9,9.1,3,79.0,294.95
Whitefield,1773,3,3,2,22,13.3,8.13,1,69.4,416.08
Whitefield,2806,6,5,2,18,23.51,5.37,0,79.4,514.62
Sarjapur Road,450,1,2,0,18,26.55,3.75,2,70.3,135.28
Koramangala,952,2,2,1,16,1.29,14.69,0,100.0,521.95
Marathahalli,1755,3,2,1,31,7.79,13.52,2,53.7,326.54
Yelahanka,999,1,1,3,25,28.34,9.87,1,87.8,236.44
Electronic City,785,1,2,2,9,5.78,14.55,0,42.5,217.6
Marathahalli,1600,1,2,3,33,15.28,1.54,0,41.2,338.02
HSR Layout,887,1,1,3,13,27.45,2.64,3,61.7,320.1
JP Nagar,1265,3,3,3,5,29.4,7.34,2,84.1,388.88
Koramangala,450,1,2,1,20,17.08,9.78,4,99.2,364.12
Bellandur,890,3,2,1,16,25.81,8.84,4,43.0,302.8
JP Nagar,1450,3,2,2,10,29.86,1.01,2,97.6,448.8
Indiranagar,1133,3,2,0,32,13.92,6.13,2,95.2,449.56
Electronic City,1174,3,2,2,17,23.36,13.05,1,58.4,249.39
Koramangala,1486,3,2,0,12,2.56,3.42,0,77.7,477.08
Whitefield,2462,4,5,1,15,22.25,7.22,0,88.2,523.28
HSR Layout,1032,2,1,1,0,20.6,13.49,4,81.4,391.04
Electronic City,1191,2,2,2,25,12.03,6.17,0,44.8,184.45
HSR Layout,1269,1,2,0,14,20.4,1.81,1,69.5,363.52
Whitefield,886,1,1,3,2,14.11,5.12,2,61.6,232.27
Hebbal,725,1,1,3,23,19.16,10.41,2,79.0,344.49
Marathahalli,2093,4,5,1,9,15.34,1.82,1,88.3,441.09
Electronic City,568,1,2,0,27,20.82,8.89,0,93.7,121.11
Bellandur,1779,2,2,0,12,0.55,3.09,2,45.6,411.36
HSR Layout,1054,3,2,0,25,17.48,12.67,2,45.9,357.26
Sarjapur Road,969,1,1,3,27,16.34,11.04,3,93.9,294.88
Sarjapur Road,1492,1,1,3,12,3.74,11.03,0,59.7,164.64
Whitefield,1646,4,5,3,7,3.1,9.5,0,92.5,477.76
Sarjapur Road,615,1,1,2,21,22.94,14.06,2,52.5,172.86
Jayanagar,1181,1,1,2,24,5.2,7.38,1,35.5,524.16
JP Nagar,906,2,2,0,23,4.53,10.74,1,62.9,333.65
Whitefield,746,1,1,1,17,6.16,14.1,2,53.1,162.11
Sarjapur Road,450,1,1,3,10,15.74,1.38,3,72.9,346.92
Indiranagar,2098,3,2,0,24,28.58,4.13,0,66.5,502.82
Yelahanka,2152,3,4,1,24,8.93,4.37,2,57.6,208.69
Whitefield,566,2,1,0,22,22.08,3.69,1,84.5,294.62
HSR Layout,1126,3,4,1,20,15.6,3.49,1,79.5,301.91
Yelahanka,544,3,2,1,3,9.74,,2,43.3,188.95
Jayanagar,957,1,1,0,0,26.89,9.31,0,79.5,302.7
Indiranagar,796,2,1,0,29,24.93,5.18,2,43.8,379.75
Whitefield,2899,5,4,2,14,18.88,11.7,0,58.9,520.8
JP Nagar,494,1,2,1,34,14.82,5.29,2,93.6,322.86
Jayanagar,450,1,1,0,33,14.33,12.12,1,71.4,212.23
Marathahalli,957,2,3,2,6,14.01,13.22,1,86.3,318.1
Jayanagar,996,1,2,3,31,12.08,11.85,2,95.6,487.16
Bellandur,4312,6,6,1,26,15.64,1.99,1,95.8,653.48
Koramangala,734,1,1,2,0,4.52,10.51,1,39.6,365.85
